addr,usd,ether
0x79f80f2c4c1c88027ef1824b5c33b2c3a4957d9f,0.0,0.0
0xff911dacc99c7667896aab32efd59f01059f2a73,0.0,0.0
0xea11357575e03a80651783877c1bea6553e5cebf,0.0,0.0
0xdf07bc8465d9e47150ce92c9b6d4c668f05de160,0.0,0.0
0xc503e2a06eab6a7e4c61f7f80befb51e614655f2,0.0,0.0
0xc94be6acc592957291d787e802b0c932a76d671a,299.97,0.9999
0xdc7f356bfa601aeaa96d79efad3e0eb505169572,300.0,1.0
0xcd9e1a9ce2fb95c548d599da3a61de09342db4d5,0.0,0.0
0x80f6a38c0f71db64e28c770913715a97c7f5be82,0.0,0.0
0x7304aa271d18f8ed3295bddb63ad5cbed2f47301,0.0,0.0
0x1afb16d06e76e39732728e186e519d99a156ef4e,3.9,0.013
0x6d71296a8d19c902985f0942e2a6fc78e2ffc6f1,0.0,0.0
0xb950466511bb3dbb2b57f44694e7ec295b643e32,0.0,0.0
0x33cc8a390496513f767f970c34e23ac4df8e89ef,0.0,0.0
0x2ba2cd0540a692fa6402c0df5d384bbca5027ad3,0.0,0.0
0x54f17794723fae852830b68d337f919cfd8649c7,0.0,0.0
0x8b3cb840c24ecd4f045f5cfb8ea14beec17b51e0,7.2,0.024
0x557c741c0af8826b9e3459ad456628646221afb9,0.0,0.0
0x81822027f08cff852817d24e8be679d5201ac8a4,0.0,0.0
0xcf27f7edddb7af3744a545c0f8fc5b27bc652fcc,3.0,0.01
0xdb46b29957b3021a5ea79c49f443083aba994a33,150000.0,500.0
0xad418b2824bae8dd82fe7da87900aaafae4c5ed8,0.0,0.0
0x2b41c085a79a3bdf5494141cec188cfbbf70b2b9,0.0,0.0
0x52c7f6792b563e0e7739ab4bf921e6dfa049c5f4,0.0,0.0
0x4c21b8b53e4c2000f2ab958a88de08b626d28a3b,0.0,0.0
0x1947c2a678b7cbac00a75d6490ca7d6f8a4b0eda,60.0,0.2
0xad556c3f5de12a50afe9086a375a3014c6d7dec5,0.0,0.0
0x15cdeeef5fb18058368e3d67fedee973c464ec39,0.0,0.0
0x28cd572413840ece39df8fab7f33baa8a176b4a4,0.0,0.0
0xec2644ae44eee9b9f476ef8dda8d7efa2340ce37,0.0,0.0
0x258119b345a71bde55aeb67413c0c6e7e96c44bf,0.0,0.0
0xa0584912b347c682aa66a2b3f60f2e5e32aac6da,0.0,0.0
0x376c3e5547c68bc26240d8dcc6729fff665a4448,34355267.1,114939
0xb4923e52d5d1555d78559f372c02612b5ccc6530,0.0,0.0
0x3e103db22424567f92d39b3f8b3c14231cdf3073,0.0,0.0
0x5ab18d3b796bae844e243d0bc906b0209106c10a,0.15,0.0005
0xfe3460f80961c466f2afe9a9291dc0c66a12e7c5,0.0,0.0
0x307d9191533274d93c7cfd4f8a505986248a094c,0.0,0.0
0x37764fe50340f0158b9facefb3dbaf5222e34a3d,1650.0,5.5
0x8d1d3e87e4807a4849348866ba7226758db85dae,0.0,0.0
0xe0fc954a459a039da40386533311ec878a0f6f81,0.0,0.0
0x669653151c8067a2d193d20f50cdaadff5eb3867,0.0,0.0
0xe64bae6b0e8b89a1a3f8152dc3fb5e3910166689,15.0,0.05
0xfd6a51dba51330ad60e15ca9c465b64dc656dd81,0.0,0.0
0x7614ba4b95cc4f456cae349b94b8a6992d4818ea,0.9,0.003
0x038422e0057c4df8460b73920f28426b8f6cd452,0.0,0.0
0x633a12e0ccd8f2618de13ac87bf35d2d647266d5,0.0,0.0
0xadb1b1fded055f31a375c4f4e01c3e10fe396ead,0.0,0.0
0x562ab60e521b0779b72d87bdcb3471296feb127e,0.0,0.0
0x5ccba1eab776fc4d7cc89084c1825f5ffd87ffda,238.17000000000002,0.7939
0x94169c702cd55f42f73d45a4f490359692c4cbc0,0.0,0.0
0x52503c16fa494daba7c214519d833c8ff60c2edb,0.0,0.0
0xf22c1657f714983eb58cd9822a04314fba4908d6,0.0,0.0
0xd6934a115916a7144f81d92fb8b61626a338c726,0.0,0.0
0xc32050abac7dbfef4fc8dc7b96d9617394cb4e1b,102068.57999999999,340.2286
0x70fb2712bccb7a416b28b09951e5093eaf394966,0.0,0.0
0x02265cb792a16a03ba32dbe52eff4c53fc7b19e5,0.0,0.0
0xa14703b1da572e3ddf4803113eb32159209199db,180000.0,600.0
0xe3a482efacc86b55cd60fa1ae07b658548e00c2e,14.879999999999999,0.0496
0x4af4adb2b2e6e499ba9e94a1deb2d7d68688213a,0.0,0.0
0x2f9f02f2ba99ff5c750f95cf27d25352f71cd6a9,96000.29999999999,320.001
0xb6bd9c764effc12875e818bd3be827eb8cf7603a,0.0,0.0
0x05cf82965cc412494c5de53bf107ec631accf03e,119700.0,399.0
0x570f77473c329a5149fe5d5786d8759e38ed15be,4458.0,15
0x9523fb92ba88381c78975753c24afd1acef725c0,0.0,0.0
0x66b88e6e950310627061c2d373954eed7ce1521a,0.0,0.0
0x348df768093688bd8d2f706d2b770ff89400ee04,0.0,0.0
0xf6c68965cdc903164284b482ef5dfdb640d9e0de,15.0,0.05
0xc99f0813a601eb1e696f7c8e4d8d3cf197c95719,0.0,0.0
0x3646da9d8e6cb67b0cf86af2c30c8b615d9bb9ce,40.11000000000001,0.1337
0x40dadf59b16d62d4d5ad68fa6d97341640ed915c,0.0,0.0
0xebf5206c23b66456aa1afa2a55591869568689df,0.0,0.0
0x2f8d38c727ebac1daf6b42e15cdbe73cad0e2211,7.4,0.02548275862
0xd7b349624208a406627010b7d440dd2f25ddd63a,3.0,0.01
0xa7bd27d13c95dc3fafc98a4c412ac0199a395353,0.0,0.0
0xeb7f7d58e29f02b079157e8bacfac40ed211359b,0.0,0.0
0x470efa7764407de9c142745c8c36fd3150ab341b,0.0,0.0
0x1bbd93c4a939da46490dd53f248b4b2967a639fa,0.0,0.0
0x3bfc20f0b9afcace800d73d2191166ff16540258,91882881.66,306276.2722
0x44e64e26bc024a51692e4e0195c45c98ed99ff9c,0.0,0.0
0x830389b854770e9102eb957379c6b70da4283d60,15.0,0.05
0xdf665ab68393bd31cf244171ba57abdbe871f81d,6.0,0.02
0xec51a8d16011460c7c0195052e9f898b6ac6d031,0.0,0.0
